iter	Logloss
0	0.627499567
1	0.5729944508
2	0.5276619492
3	0.4902914797
4	0.4576634707
5	0.4280270813
6	0.4032985852
7	0.3813384355
8	0.3628988048
9	0.3465283318
10	0.3318085639
11	0.3185376494
12	0.3068988429
13	0.2957386556
14	0.2859927926
15	0.2776026287
16	0.2703384573
17	0.2637477897
18	0.2577655273
19	0.2520617126
20	0.2471027548
21	0.2424212905
22	0.2390582642
23	0.2352559345
24	0.2318238025
25	0.2289351059
26	0.2267383599
27	0.2242096673
28	0.2216336259
29	0.2193156526
30	0.2173778701
31	0.2156417525
32	0.213805732
33	0.2121921848
34	0.2109656938
35	0.2100979847
36	0.2088432136
37	0.2076935743
38	0.206427872
39	0.2054437424
40	0.2044500989
41	0.2035094546
42	0.2027103852
43	0.2019878161
44	0.2012464055
45	0.2007612895
46	0.2003008904
47	0.199666357
48	0.1989533563
49	0.1983284625
50	0.1978993367
51	0.1973787918
52	0.1968742442
53	0.1963678444
54	0.1959860828
55	0.1955680546
56	0.1952394136
57	0.1948106849
58	0.1944107133
59	0.1941839286
60	0.1938133112
61	0.1935746314
62	0.1933440642
63	0.192959811
64	0.1925996757
65	0.1924738403
66	0.1922403603
67	0.1921065515
68	0.1919568836
69	0.1917068385
70	0.1916054102
71	0.1914658212
72	0.1912554876
73	0.1910382048
74	0.1909321041
75	0.1907228935
76	0.1904996809
77	0.190274978
78	0.1901332745
79	0.1899482943
80	0.1898877168
81	0.1897029257
82	0.1894618204
83	0.1892998513
84	0.1891990425
85	0.1890911407
86	0.1889690203
87	0.1888971519
88	0.188756143
89	0.1885904939
90	0.1882884313
91	0.1881160064
92	0.1878970543
93	0.1877430507
94	0.1875933691
95	0.1872894672
96	0.1871599629
97	0.1870971828
98	0.1870030188
99	0.1869031287
