iter	Passed	Remaining
0	14	1403
1	18	917
2	22	739
3	27	653
4	32	612
5	36	572
6	40	534
7	43	505
8	47	483
9	51	461
10	54	444
11	58	429
12	62	416
13	65	405
14	69	394
15	73	385
16	76	374
17	80	365
18	84	359
19	88	352
20	91	343
21	94	336
22	98	329
23	102	324
24	106	318
25	109	312
26	113	306
27	116	300
28	121	296
29	124	290
30	128	285
31	132	281
32	135	275
33	139	270
34	142	265
35	146	260
36	149	254
37	153	249
38	156	245
39	161	242
40	164	237
41	168	232
42	172	228
43	176	224
44	180	220
45	183	215
46	187	211
47	191	207
48	195	203
49	199	199
50	203	195
51	206	190
52	210	186
53	213	182
54	217	177
55	221	174
56	225	169
57	228	165
58	232	161
59	235	156
60	239	152
61	242	148
62	245	144
63	248	140
64	253	136
65	257	132
66	261	128
67	264	124
68	268	120
69	272	116
70	276	112
71	280	109
72	284	105
73	287	101
74	291	97
75	295	93
76	299	89
77	302	85
78	306	81
79	310	77
80	314	73
81	317	69
82	321	65
83	325	62
84	330	58
85	333	54
86	337	50
87	341	46
88	344	42
89	348	38
90	352	34
91	355	30
92	359	27
93	363	23
94	366	19
95	370	15
96	374	11
97	377	7
98	381	3
99	385	0
